date,year,week,cases
1934-08-05,1934,31,730
1934-08-12,1934,32,393
1934-08-19,1934,33,439
1934-08-26,1934,34,482
1934-09-02,1934,35,517
1934-09-09,1934,36,464
1934-09-16,1934,37,565
1934-09-23,1934,38,615
1934-09-30,1934,39,630
1934-10-07,1934,40,687
1934-10-14,1934,41,677
1934-10-21,1934,42,559
1934-10-28,1934,43,1033
1934-11-04,1934,44,926
1934-11-11,1934,45,1224
1934-11-18,1934,46,1087
1934-11-25,1934,47,1327
1934-12-02,1934,48,1356
1934-12-09,1934,49,1983
1934-12-16,1934,50,3053
1934-12-23,1934,51,4966
1934-12-30,1934,52,9322
1935-01-06,1935,1,11344
1935-01-13,1935,2,8370
1935-01-20,1935,3,10150
1935-01-27,1935,4,11244
1935-02-03,1935,5,10381
1935-02-10,1935,6,9397
1935-02-17,1935,7,7681
1935-02-24,1935,8,6353
1935-03-03,1935,9,7445
1935-03-10,1935,10,4184
1935-03-17,1935,11,3329
1935-03-24,1935,12,2363
1935-03-31,1935,13,2364
1935-04-07,1935,14,1933
1935-04-14,1935,15,1355
1935-04-21,1935,16,1179
1935-04-28,1935,17,1084
1935-05-05,1935,18,875
1935-05-12,1935,19,922
1935-05-19,1935,20,675
1935-05-26,1935,21,630
1935-06-02,1935,22,558
1935-06-09,1935,23,556
1935-06-16,1935,24,428
1935-06-23,1935,25,402
1935-06-30,1935,26,264
1935-07-07,1935,27,274
1935-07-14,1935,28,256
1935-07-21,1935,29,293
1935-07-28,1935,30,279
1935-08-04,1935,31,297
1935-08-11,1935,32,382
1935-08-18,1935,33,303
1935-08-25,1935,34,351
1935-09-01,1935,35,388
1935-09-08,1935,36,493
1935-09-15,1935,37,537
1935-09-22,1935,38,617
1935-09-29,1935,39,596
1935-10-06,1935,40,686
1935-10-13,1935,41,753
1935-10-20,1935,42,804
1935-10-27,1935,43,672
1935-11-03,1935,44,737
1935-11-10,1935,45,897
1935-11-17,1935,46,1026
1935-11-24,1935,47,1247
1935-12-01,1935,48,1464
1935-12-08,1935,49,1683
1935-12-15,1935,50,1674
1935-12-22,1935,51,1768
1935-12-29,1935,52,2133
1936-01-05,1936,1,2883
1936-01-12,1936,2,3493
1936-01-19,1936,3,2838
1936-01-26,1936,4,3410
1936-02-02,1936,5,5469
1936-02-09,1936,6,10914
1936-02-16,1936,7,13864
1936-02-23,1936,8,13916
1936-03-01,1936,9,15116
1936-03-08,1936,10,13390
1936-03-15,1936,11,12871
1936-03-22,1936,12,12357
1936-03-29,1936,13,10058
1936-04-05,1936,14,8119
1936-04-12,1936,15,6699
1936-04-19,1936,16,4766
1936-04-26,1936,17,3619
1936-05-03,1936,18,3057
1936-05-10,1936,19,2148
1936-05-17,1936,20,1132
1936-05-24,1936,21,810
1936-05-31,1936,22,1104
1936-06-07,1936,23,598
1936-06-14,1936,24,932
1936-06-21,1936,25,800
1936-06-28,1936,26,734
1936-07-05,1936,27,402
1936-07-12,1936,28,276
1936-07-19,1936,29,172
1936-07-26,1936,30,185
1936-08-02,1936,31,224
1936-08-09,1936,32,268
1936-08-16,1936,33,201
1936-08-23,1936,34,248
1936-08-30,1936,35,240
1936-09-06,1936,36,309
1936-09-13,1936,37,318
1936-09-20,1936,38,428
1936-09-27,1936,39,383
1936-10-04,1936,40,585
1936-10-11,1936,41,778
1936-10-18,1936,42,800
1936-10-25,1936,43,885
1936-11-01,1936,44,824
1936-11-08,1936,45,1079
1936-11-15,1936,46,1048
1936-11-22,1936,47,1228
1936-11-29,1936,48,1896
1936-12-06,1936,49,2299
1936-12-13,1936,50,2503
1936-12-20,1936,51,2447
1936-12-27,1936,52,4819
1937-01-03,1937,1,15127
1937-01-10,1937,2,27733
1937-01-17,1937,3,42781
1937-01-24,1937,4,43617
1937-01-31,1937,5,37384
1937-02-07,1937,6,30346
1937-02-14,1937,7,24385
1937-02-21,1937,8,20075
1937-02-28,1937,9,16493
1937-03-07,1937,10,11927
1937-03-14,1937,11,9494
1937-03-21,1937,12,6833
1937-03-28,1937,13,5260
1937-04-04,1937,14,4263
1937-04-11,1937,15,3386
1937-04-18,1937,16,2347
1937-04-25,1937,17,1879
1937-05-02,1937,18,1553
1937-05-09,1937,19,1062
1937-05-16,1937,20,906
1937-05-17,1937,21,42
1937-05-23,1937,22,686
1937-05-30,1937,23,643
1937-06-06,1937,24,579
1937-06-13,1937,25,564
1937-06-20,1937,26,565
1937-06-27,1937,27,284
1937-07-04,1937,28,337
1937-07-11,1937,29,250
1937-07-18,1937,30,226
1937-07-25,1937,31,287
1937-08-01,1937,32,245
1937-08-08,1937,33,261
1937-08-15,1937,34,269
1937-08-22,1937,35,311
1937-08-29,1937,36,164
1937-09-05,1937,37,371
1937-09-12,1937,38,407
1937-09-19,1937,39,520
1937-09-26,1937,40,600
1937-10-03,1937,41,628
1937-10-10,1937,42,750
1937-10-17,1937,43,685
1937-10-24,1937,44,849
1937-10-31,1937,45,975
1937-11-07,1937,46,981
1937-11-14,1937,47,1113
1937-11-21,1937,48,1289
1937-11-28,1937,49,1803
1937-12-05,1937,50,2245
1937-12-12,1937,51,2271
1937-12-19,1937,52,1799
1938-01-02,1938,1,2723
1938-01-09,1938,2,3118
1938-01-16,1938,3,3412
1938-01-23,1938,4,3630
1938-01-30,1938,5,3642
1938-02-06,1938,6,3700
1938-02-13,1938,7,3403
1938-02-20,1938,8,3268
1938-02-27,1938,9,3019
1938-03-06,1938,10,2455
1938-03-13,1938,11,2057
1938-03-20,1938,12,1957
1938-03-27,1938,13,1748
1938-04-03,1938,14,1333
1938-04-10,1938,15,1383
1938-04-17,1938,16,903
1938-04-24,1938,17,1020
1938-05-01,1938,18,818
1938-05-08,1938,19,677
1938-05-15,1938,20,681
1938-05-22,1938,21,592
1938-05-29,1938,22,566
1938-06-05,1938,23,481
1938-06-12,1938,24,699
1938-06-19,1938,25,356
1938-06-26,1938,26,388
1938-07-03,1938,27,351
1938-07-10,1938,28,429
1938-07-17,1938,29,343
1938-07-24,1938,30,373
1938-07-31,1938,31,375
1938-08-07,1938,32,394
1938-08-14,1938,33,360
1938-08-21,1938,34,453
1938-08-28,1938,35,384
1938-09-04,1938,36,526
1938-09-11,1938,37,464
1938-09-18,1938,38,836
1938-09-25,1938,39,879
1938-10-02,1938,40,859
1938-10-09,1938,41,842
1938-10-16,1938,42,1004
1938-10-23,1938,43,1203
1938-10-30,1938,44,1201
1938-11-06,1938,45,1105
1938-11-13,1938,46,1362
1938-11-20,1938,47,1258
1938-11-27,1938,48,1663
1938-12-04,1938,49,2223
1938-12-11,1938,50,2165
1938-12-18,1938,51,1813
1938-12-25,1938,52,2257
1939-01-01,1939,1,3508
1939-01-08,1939,2,3292
1939-01-15,1939,3,3417
1939-01-22,1939,4,3626
